identifier,title,year,description,url,notes,query
stripper_georgia_sothern,Stripper - Georgia Sothern,,,https://archive.org/details/stripper_georgia_sothern,,"supermarket OR ""department store"" OR grocery OR ""shopping center"""
American1958_2,American Look (Part II),1958,"The definitive Populuxe film on 1950s automotive, industrial, interior and architectural design.",https://archive.org/details/American1958_2,,"supermarket OR ""department store"" OR grocery OR ""shopping center"""
DrugAddi1951,Drug Addiction,1951,"Classic ""slippery slope"" narrative of post-World War II stoned slackerdom.",https://archive.org/details/DrugAddi1951,,"supermarket OR ""department store"" OR grocery OR ""shopping center"""
FolgersCoffe,Folgers Coffee Commercial,1960,Folgers Coffee TV Commercial,https://archive.org/details/FolgersCoffe,,"supermarket OR ""department store"" OR grocery OR ""shopping center"""
girls_beware,Girls Beware,1961,"Like its precursor Name Unknown (1951), Girls Beware is a trilogy of tragedies brought about by teenage girls' attempts at independent behavior. Covers do's and don'ts in the babysitting situation. Develops the problem of the 'PICK UP' and the girls who go with boys that are too old.",https://archive.org/details/girls_beware,,"supermarket OR ""department store"" OR grocery OR ""shopping center"""
Careofth1949,Care of the Skin,1949,Structure of the skin; good cleanliness habits; the proper way to wash; the correct use of soap.,https://archive.org/details/Careofth1949,,"etiquette OR ""good manners"" OR courtesy OR habits"
WartimeN1943,Wartime Nutrition,1943,Wartime work of public welfare agencies in the field of nutrition.,https://archive.org/details/WartimeN1943,,"etiquette OR ""good manners"" OR courtesy OR habits"
HowtoBeW1949,How to Be Well Groomed,1949,Siblings Don and Sue show how they keep themselves well groomed throughout the school week and for their Friday night dates.,https://archive.org/details/HowtoBeW1949,,"etiquette OR ""good manners"" OR courtesy OR habits"
Foundati1951,Foundation Foods,1951,,https://archive.org/details/Foundati1951,,"etiquette OR ""good manners"" OR courtesy OR habits"
2349B_San_Francisco_Earthquake_Ruined_Buildings_00_06_04_19,[San Francisco Earthquake: Ruined Buildings],1906,"San Francisco earthquake, 1906: Short pan of ruined buildings. Earthquake-Falling Buildings",https://archive.org/details/2349B_San_Francisco_Earthquake_Ruined_Buildings_00_06_04_19,,thought OR thinking OR mind
ATripDownMarketStreet_HD,A Trip Down Market Street Before the Fire (uncompressed HD version),1906,This is an uncompressed HD version of the famous film. Not all machines and players can successfully play this film. It is suggested that you determine compatibility before attempting this massive download. A high-quality (DV25) version that may be easier to work with is located here: http://www.archive.org/details/TripDownMarketStreetrBeforeTheFire This file was made by SpyPost in San Francisco in fall 2010 from a new 35mm print made from a new duplicate negative made by Film Technology Company,https://archive.org/details/ATripDownMarketStreet_HD,,thought OR thinking OR mind
MarketStreet19064KScan20181016,"A Trip Down Market Street Before the Fire (4K scan, 2018-10-11)",1906,"This is a scan of 35mm material held by Prelinger Archives, San Francisco and thought to be an original 1906 print. It was scanned by Adrianne Finelli at Internet Archive on October 11, 2018 using IA's Lasergraphics ScanStation scanner set at 5120 x 3840 and scanned to 16fps. Due to Final Cut Pro limitations, this full-width scan is 4096 x 3072 pixels wide and every second frame is doubled for a playback framerate of 24fps. Archives frequently make full-width scans to show information between th",https://archive.org/details/MarketStreet19064KScan20181016,,thought OR thinking OR mind
SanFranc1906_2,"San Francisco Earthquake Aftermath, Part 2",1906,Views of destruction taken from a vehicle moving east down Market Street.,https://archive.org/details/SanFranc1906_2,,thought OR thinking OR mind
gamblers_choice_1906,"Gambler's Choice, A",1906,,https://archive.org/details/gamblers_choice_1906,,thought OR thinking OR mind
TripDownMarketStreetrBeforeTheFire,"Trip Down Market Street Before the Fire, A (DV25 version)",1906,"DV25 version (editable quality) of the famous film. Feel free to reedit/recombine/remix. Please consider uploading your derivative works to Internet Archive. This version was transferred from a new 35mm print made from a restored 35mm negative, which was made from our 1906-era 35mm print. The frameroll problem seen in other versions has been fixed.",https://archive.org/details/TripDownMarketStreetrBeforeTheFire,,thought OR thinking OR mind
0989_Gamblers_Choice_A_01_49_12_11,"Gambler's Choice, A",1909,"1909 nickelodeon drama. This is an old Gaumont film about William Sheep, Gambler. Chess pieces move around the board autonomously in a dream sequence.",https://archive.org/details/0989_Gamblers_Choice_A_01_49_12_11,,thought OR thinking OR mind
0780_Panama_Canal_14_52_26_00,[Panama Canal],1912,"Panama Canal: Ship on the Atlantic Ocean side of the canal / ship coming through the channel / the first (lower) lock seen from the Atlantic side / gates open / views of the canal, train system for hauling ships through / Gatun Bay on the western side / ship completed journey in 10 hours / steam shovels constantly working.Views of the finished Panama CanalPanoramic views of the CanalOne of the 16-inch guns raising into position, with a range of 21 miles, firing a 2,400 lb. armor-piercing shellGu",https://archive.org/details/0780_Panama_Canal_14_52_26_00,,thought OR thinking OR mind
4055_Gould_Can_5435-2_Panama_Canal,[Panama Canal],1912,"Narration describes the construction of and history behind the Panama Canal. Footage primarily of trains, construction machinery and workers. Includes Gatun Dam.",https://archive.org/details/4055_Gould_Can_5435-2_Panama_Canal,,thought OR thinking OR mind
KayStins1917,"[Kay Stinson, Aviator]",1917,"Kay Stinson, noted woman aviatrix, breaks the speed record from San Diego to San Francisco with an average speed of 66 mph.",https://archive.org/details/KayStins1917,,dream OR future OR tomorrow
OaklandO1918,[Oakland Oaks Baseball Season Opens],1918,"Baseball season opens in Oakland, California: April 2, 1918; auto parade through downtown streets and pregame warmup.",https://archive.org/details/OaklandO1918,,dream OR future OR tomorrow
0929CrucifixOfDestiny,Crucifix Of Destiny,1920,"Silent film. Paul Drummond is adopted into a Franciscan Mission in California. Becoming of age, he believes he has a call to the priesthood. While at Theological Seminary, he becomes doubtful of his future and on the advice of his old Confessor he decides to become a physician. His roommate at college cherishes a little Crucifix given him by his mother. This Crucifix figures in the drama of events that finally convince Paul that the priesthood is his true calling.",https://archive.org/details/0929CrucifixOfDestiny,,dream OR future OR tomorrow
